"","county","agegp","edugp","ideal","intend","npop"
"16774",511024,"35-49","primary and below",2.08633090538147,1.79621917863061,43454.7522041598
"16775",511024,"35-49","secondary",2.04111643749256,1.62067214720235,37371.5589412256
"16776",511024,"35-49","hs and above",1.93911779835754,1.46828652057877,10225.6888546146
"16777",511025,"15-24","primary and below",1.84523229901322,1.99252049136708,44311.8526342862
"16778",511025,"15-24","secondary",1.79157106023745,1.80023996946723,40612.5615725454
"16779",511025,"15-24","hs and above",1.68706191639546,1.58792098464101,9044.58579316844
"16780",511025,"25-34","primary and below",1.99552855392435,2.11862679277068,32206.0104860523
"16781",511025,"25-34","secondary",1.8319803024295,1.89615896882926,29517.3527197281
"16782",511025,"25-34","hs and above",1.81011291820697,1.76403647640172,6573.63679421964
"16783",511025,"35-49","primary and below",1.9922064658009,1.97721313744481,76971.9736683577
"16784",511025,"35-49","secondary",1.91222730847738,1.76881166950448,70546.1142815716
"16785",511025,"35-49","hs and above",1.82663744295261,1.60425191965587,15710.9120500707
"16786",511028,"15-24","primary and below",1.94052542279681,2.00958679968737,22316.6819438456
"16787",511028,"15-24","secondary",1.8757412306395,1.88232958590148,15152.643974941
"16788",511028,"15-24","hs and above",1.79409073109583,1.69313155951865,4806.67408121338
"16789",511028,"25-34","primary and below",2.03316556444347,2.26791092522909,17755.2653321328
"16790",511028,"25-34","secondary",1.9381333758226,2.05685660378975,12055.5203921171
"16791",511028,"25-34","hs and above",1.87957477501004,1.84330420250955,3824.21427575012
"16792",511028,"35-49","primary and below",2.07164421274647,2.09117764416867,45736.6344256474
"16793",511028,"35-49","secondary",1.98984362390061,1.86711981907335,31054.3897075608
"16794",511028,"35-49","hs and above",1.90866828311273,1.64362244018068,9850.97586679179
"16795",511102,"15-24","primary and below",1.70769752151424,1.5037185874021,22102.8026330985
"16796",511102,"15-24","secondary",1.60080962881913,1.24310632097145,22669.7552450244
"16797",511102,"15-24","hs and above",1.56640120449822,1.13450096484721,22359.442121877
"16798",511102,"25-34","primary and below",1.8392465890495,1.63211731365155,14378.0818534739
"16799",511102,"25-34","secondary",1.70989308582938,1.42347193338568,14746.8898818778
"16800",511102,"25-34","hs and above",1.63464669561577,1.26378587385361,14545.0282646483
"16801",511102,"35-49","primary and below",1.83193899131669,1.48098286189479,31303.8531363543
"16802",511102,"35-49","secondary",1.74729728769313,1.27514958838998,32106.8192395048
"16803",511102,"35-49","hs and above",1.69663243206845,1.11339349855581,31667.3276241409
"16804",511112,"15-24","primary and below",1.66495232938468,1.57151719470731,7689.69043912355
"16805",511112,"15-24","secondary",1.57750989937341,1.29517428568801,7156.56266484824
"16806",511112,"15-24","hs and above",1.49843551951977,1.11040758388152,2933.7468960282
