"","county","ideal","intend","ideal2","intend2","npop"
"1450",430382,2.07491125255521,1.71530914661627,0.947987529387512,0.649827849036607,23310
"1451",430405,1.97476336947121,1.68726103090223,0.936886753086776,0.663892844068301,97065
"1452",430406,1.88241650799966,1.59544632035083,0.895364660834978,0.604152978072528,64763
"1453",430407,1.97293258329116,1.79170779262904,0.939830001440937,0.751104446243184,69280
"1454",430408,1.98215101941628,1.81800376182632,0.913638622008634,0.719472456132729,94620
"1455",430421,2.09744795698432,2.01462049159298,0.974993918345636,0.846397244663953,292466
"1456",430422,2.1759971730308,2.07222189408553,0.979445097928136,0.897407643257395,249951
"1457",430423,2.08550316920942,2.14114198956822,0.971466120097915,0.904412827874621,101258
"1458",430424,2.19730087920372,2.29314620202517,0.973985829073868,0.911904608321796,164252
"1459",430426,2.1201783250984,2.15917220666652,0.966927730399806,0.904252878522828,253490
"1460",430481,2.12362705142664,2.15027230288306,0.978550950988898,0.88367049434408,292646
"1461",430502,2.03242687295961,1.83887434518953,0.957992285765705,0.777555232227586,85021
"1462",430503,2.05701659066955,1.74588470877303,0.956891123672407,0.733609870904928,100763
"1463",430521,2.17918600707863,2.1154025172189,0.974739839645591,0.885684064364959,216171
"1464",430522,2.38217624605339,2.26524359670464,0.978617961295871,0.909227701957392,194430
"1465",430523,2.35174479277123,2.39101866537272,0.973189668525177,0.93344375757597,236696
"1466",430524,2.3289768188051,2.30720307954697,0.978246306788482,0.911927466472317,282089
"1467",430525,2.23231772852028,2.10871368667249,0.973221529187768,0.878837791024773,198365
"1468",430527,2.08270376790212,2.08195090468174,0.96374937990681,0.899559861210263,97994
"1469",430528,2.08592149768865,1.9302227897501,0.970345170198555,0.842822353126774,149887
"1470",430529,2.16826461362608,2.09340706923572,0.976550110347253,0.930435627289822,69437
"1471",430581,2.10469430475708,2.18946753827574,0.977513962881788,0.919438071181957,189622
"1472",430602,1.97230676298291,1.63630541689024,0.927856368390317,0.644536534615631,267641
"1473",430603,2.11390912480808,1.8147857299285,0.950174585582846,0.747035715070847,50931
"1474",430611,2.15150952305137,1.88183944533359,0.962986826554411,0.791363005648382,67644
"1475",430621,1.97213581638289,2.03632783353593,0.948340686090139,0.849724666503293,195102
"1476",430623,2.00536872218774,1.88229905819753,0.955647251201351,0.796682988410603,208252
"1477",430624,2.00738250391877,1.74641556908151,0.950488481153055,0.718397869409775,197446
"1478",430626,2.00634850319379,1.94607285743491,0.933577203872672,0.83409815417128,250966
"1479",430682,2.10789884510268,1.96585708833442,0.966937356685587,0.832940615762221,141310
"1480",430702,1.8157218646203,1.49188831999554,0.830855318766698,0.499306695385924,203623
"1481",430703,1.96624571066324,1.67686685137378,0.942940766398733,0.648533209977245,240608
"1482",430721,2.04629139460062,1.66835527648744,0.949040498557881,0.62144331422864,151480
"1483",430722,1.95670479925054,1.81176884648635,0.948227665366416,0.721850115326735,228655
"1484",430723,1.99573773126197,1.70619686649382,0.94475495410798,0.620740621483012,226792
"1485",430724,2.04805045269512,1.69942348810343,0.944915778081916,0.62058510950515,110623
"1486",430725,1.9728669704699,1.54844597078153,0.922934762798451,0.545587146771844,221365
"1487",430726,1.97978800267694,1.51959217920209,0.926054163926901,0.514373014007648,158278
"1488",430781,1.96143322577968,1.60595120067208,0.929960273643294,0.544906981122686,65991
"1489",430802,2.00731993884037,1.83688145327871,0.939666273692244,0.718019800360932,123142
"1490",430821,2.00785320952861,1.61094983487651,0.956196637110178,0.648952999517361,157313
"1491",430822,2.03423009528689,2.07984666900847,0.976849977700228,0.885774487515434,93501
"1492",430902,1.90974101483922,1.77402491563665,0.911199533183365,0.744370701849998,119930
"1493",430903,2.02293961686402,1.76055301741201,0.929706077684285,0.713036963134824,244334
"1494",430921,1.97806123206344,1.78353910593823,0.932763239717253,0.738564338501091,212438
"1495",430922,1.97990089950106,1.79364926145035,0.91913774837905,0.749522103378089,210579
"1496",430923,2.01217723757757,1.84869795199578,0.944804578455154,0.802625374348994,249327
"1497",430981,1.95634532847288,1.67053632397708,0.937971387478533,0.652311330330192,193563
"1498",431002,2.11084155002914,2.03164221758,0.957377277483058,0.818647639396266,122146
"1499",431003,2.09025845915521,1.78390386859673,0.953969345734651,0.745133706779202,120550
"1500",431021,2.16300110500343,2.12219370625336,0.977411334805913,0.880419659228823,177264
"1501",431022,2.20453388240001,2.1733912598129,0.973767128888691,0.891864740904076,155767
"1502",431023,2.2868697420897,2.27011436350062,0.979451290377546,0.897384085482408,149030
"1503",431024,2.48923890403042,2.48607354405859,0.981812828140283,0.92673568093202,71118
"1504",431025,2.41675642975617,2.51045647943478,0.976613046073917,0.92910757916512,86463
"1505",431026,2.52272524824989,2.30816090729906,0.981045279430105,0.942654925772503,84524
